ts,platform,ms_played,conn_country,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name,spotify_track_uri,reason_start,reason_end,shuffle,skipped,offline,offline_timestamp,incognito_mode,hour,day,month,minutes_played,track_artist
2025-01-01 05:11:45+00:00,osx,158443,TT,deja vu,Olivia Rodrigo,SOUR,spotify:track:6HU7h9RYOaPRFeh0R3UeAr,trackdone,endplay,False,True,False,1735679560,False,5,Wednesday,2025-01,2.6407166666666666,deja vu - Olivia Rodrigo
2025-01-01 05:14:52+00:00,osx,188306,TT,Crash My Car,COIN,Dreamland,spotify:track:5SN3mwuodiwY3jPejBuUD5,clickrow,trackdone,False,False,False,1735708304,False,5,Wednesday,2025-01,3.1384333333333334,Crash My Car - COIN
2025-01-01 05:18:50+00:00,osx,177280,TT,Everybody Talks,Neon Trees,Picture Show,spotify:track:2iUmqdfGZcHIhS3b9E9EWq,trackdone,trackdone,False,False,False,1735708522,False,5,Wednesday,2025-01,2.9546666666666668,Everybody Talks - Neon Trees
2025-01-01 05:22:13+00:00,osx,202496,TT,She Looks So Perfect,5 Seconds of Summer,5 Seconds Of Summer,spotify:track:1CQ2cMfrmFM1YdfmjENKVE,trackdone,trackdone,False,False,False,1735708730,False,5,Wednesday,2025-01,3.3749333333333333,She Looks So Perfect - 5 Seconds of Summer
2025-01-01 05:25:51+00:00,osx,218013,TT,Tongue Tied,GROUPLOVE,Never Trust a Happy Song,spotify:track:0GO8y8jQk1PkHzS31d699N,trackdone,trackdone,False,False,False,1735708933,False,5,Wednesday,2025-01,3.63355,Tongue Tied - GROUPLOVE
2025-01-01 05:29:24+00:00,osx,212306,TT,Okay,Chase Atlantic,Chase Atlantic,spotify:track:492PZFHvGTm3RZZYeeUVWT,trackdone,trackdone,False,False,False,1735709151,False,5,Wednesday,2025-01,3.5384333333333333,Okay - Chase Atlantic
2025-01-01 05:38:35+00:00,osx,171880,TT,parents,YUNGBLUD,the underrated youth,spotify:track:68rVGSTnCiFOET9k5Vd8Se,trackdone,trackdone,False,False,False,1735709364,False,5,Wednesday,2025-01,2.8646666666666665,parents - YUNGBLUD
2025-01-01 07:25:19+00:00,osx,67105,TT,Doin' Time,Lana Del Rey,Norman Fucking Rockwell!,spotify:track:0Oqc0kKFsQ6MhFOLBNZIGX,clickrow,logout,False,False,False,1735709937,False,7,Wednesday,2025-01,1.1184166666666666,Doin' Time - Lana Del Rey
2025-01-01 15:17:57+00:00,ios,152595,TT,Timebomb,Nico Collins,Timebomb,spotify:track:7gjz84aDBUCSjJiGfv3byP,trackdone,unexpected-exit-while-paused,True,False,False,1735676407,False,15,Wednesday,2025-01,2.54325,Timebomb - Nico Collins
2025-01-01 19:24:29+00:00,ios,211470,TT,Hannah Montana,Nico Collins,Hannah Montana,spotify:track:3ejsbsJ2xG6HPHNGNHZmWf,fwdbtn,trackdone,True,False,False,1735759250,False,19,Wednesday,2025-01,3.5245,Hannah Montana - Nico Collins
2025-01-01 19:27:50+00:00,ios,201027,TT,Borderline,Nico Collins,Borderline,spotify:track:63Sw9O7eJCCrppEk2YEO2x,trackdone,trackdone,True,False,False,1735759469,False,19,Wednesday,2025-01,3.35045,Borderline - Nico Collins
2025-01-01 19:31:15+00:00,ios,204504,TT,Nothing Ever Changes,Nico Collins,Nothing Ever Changes,spotify:track:04HywTwgGtbATUROKD5Ata,trackdone,trackdone,True,False,False,1735759670,False,19,Wednesday,2025-01,3.4084,Nothing Ever Changes - Nico Collins
2025-01-01 19:34:29+00:00,ios,193275,TT,Alien,Nico & Chelsea,Alien,spotify:track:2YdDd0WUsWLWZq0Puz0Ypo,trackdone,trackdone,True,False,False,1735759875,False,19,Wednesday,2025-01,3.22125,Alien - Nico & Chelsea
2025-01-01 19:38:23+00:00,ios,234001,TT,Alone,Nico Collins,Alone,spotify:track:0Lu9pdU9sOqI2jFwxfztCb,trackdone,trackdone,True,False,False,1735760069,False,19,Wednesday,2025-01,3.9000166666666667,Alone - Nico Collins
2025-01-01 19:41:34+00:00,ios,189910,TT,Hate Me,Nico Collins,Hate Me,spotify:track:5FgdPkPCffPktT5qnWls8Y,trackdone,trackdone,True,False,False,1735760303,False,19,Wednesday,2025-01,3.1651666666666665,Hate Me - Nico Collins
2025-01-01 19:45:29+00:00,ios,234930,TT,My Mistake,Nico Collins,My Mistake,spotify:track:2eSRPupsCdcZPcuqll1rmM,trackdone,trackdone,True,False,False,1735760494,False,19,Wednesday,2025-01,3.9155,My Mistake - Nico Collins
